,HCC1954_BrM2b_1,HCC1954_BrM2b_2,HCC1954_Parental_1,HCC1954_Parental_2,HCC1954_Parental_3
SNX29P2,1.133079723,2.082852858,2.84824008,2.271908047,1.631881079
SNX3,4706.813167,4543.743509,3871.707682,3828.165059,4023.4028
SNX30,3605.459677,3238.836194,4325.527268,4357.519634,4461.56287
SNX31,1.133079723,2.082852858,0.94941336,2.271908047,0.815940539
SNX32,0,0,0.94941336,0,0
SNX33,2311.482634,2485.884886,1752.617063,1660.764782,1653.095533
SNX4,1625.969402,1454.872721,1515.263723,1382.456046,1528.25663
SNX5,2912.014887,2751.448625,2806.465892,2788.767127,2926.778715
SNX6,5301.680022,4690.584636,5485.710394,5443.49168,5734.430111
SNX7,1315.505558,1277.830228,1417.474146,1358.601012,1414.840895
SNX8,4612.76755,4583.317713,2863.430694,2795.582851,2691.78784
SNX9,3518.212538,3398.174437,3360.923294,3337.432921,3426.134325
SOAT1,2789.642277,2870.171238,2216.880196,2185.575541,2300.952321
SOAT2,0,0,2.84824008,1.135954023,1.631881079
SOBP,3.399239168,7.289985002,3.79765344,2.271908047,0
SOCS1,86.11405891,81.23126145,62.66128176,63.61342531,55.48395668
SOCS2,201.6881906,178.0839193,385.4618241,405.5355863,412.0499724
SOCS2-AS1,5.665398613,8.331411431,16.14002712,26.12694254,17.13475133
SOCS3,1378.958022,1262.208832,1329.178704,1358.601012,1223.910809
SOCS4,2033.878102,2078.687152,1939.651494,2043.581288,2141.843916
SOCS5,1423.148131,1249.711715,1319.68457,1132.546161,1295.713577
SOCS6,1820.859114,1787.087752,1536.150816,1535.80984,1512.75376
SOCS7,1390.28882,1330.942976,1340.571664,1282.492092,1289.186052
SOD1,6405.299671,6624.513514,7446.248982,7337.127037,7751.435125
SOD2,10113.8696,11098.48145,1799.138317,1769.816368,1846.473441
SOD3,0,0,0.94941336,1.135954023,0
SOGA1,693.4447902,629.021563,571.5468427,577.0646439,523.0178858
SOGA3,6.798478335,1.041426429,3.79765344,0,2.447821618
SOHLH1,1.133079723,0,0,0,0
SOHLH2,1.133079723,1.041426429,0,1.135954023,0
SON,16172.44688,15122.55317,19983.2524,18921.58617,20205.95152
SORBS1,1001.642475,1099.746309,938.0203997,928.0744371,923.6446907
SORBS2,397.7109826,491.5532744,61.7118684,68.1572414,78.33029179
SORBS3,1299.642442,1242.42173,1249.427982,1195.023633,1117.022599
SORCS1,0,0,0,0,0
SORCS2,209.6197487,215.5752708,222.1627262,245.366069,230.0952321
SORCS3,0,0,0.94941336,0,0
SORCS3-AS1,0,0,0,0,0
SORD,3402.638407,3234.670488,3001.095631,2875.099633,2868.846937
SORL1,676.4485943,709.211398,1351.015211,1384.727954,1403.417728
SORT1,11329.66415,11550.46052,12520.86339,12655.66377,12771.10132
SOS1,3109.170759,3424.210098,3582.136607,3750.920185,3855.319049
SOS2,2350.007345,2593.151808,2832.100053,2791.039035,3017.348115
SOST,0,0,1.89882672,0,0
SOSTDC1,0,0,0,0,0
SOWAHA,61.18630502,45.82276287,72.15541536,76.10891956,75.06652963
SOWAHB,439.6349323,464.4761873,576.2939095,585.016322,595.6365938
SOWAHC,1147.809759,1067.46209,2246.31201,2131.049748,2244.652424
SOWAHD,29.46007279,36.44992501,31.33064088,36.35052875,31.0057405
SOX1,0,0,0,0,0
SOX10,0,2.082852858,0,0,1.631881079
SOX11,9.06463778,9.37283786,76.90248216,81.78868968,74.25058909
SOX12,308.1976845,348.8778537,473.7572666,500.9557243,393.28334
SOX13,3147.695469,3141.983536,4108.111609,4153.047909,3717.425098
SOX14,0,0,0,0,0
SOX15,45.3231889,56.23702716,35.12829432,46.57411496,38.34920535
SOX17,0,0,0,0,0
SOX18,46.45626862,34.36707215,39.87536112,55.66174714,35.0854432
SOX2,423.7718162,510.2989501,506.9867342,495.2759542,451.2151183
SOX2-OT,3.399239168,0,2.84824008,2.271908047,3.263762158
SOX21,0,0,0,0,0
SOX21-AS1,1.133079723,0,0,0,0
SOX3,0,0,0,0,0
SOX30,12.46387695,14.57997,13.29178704,13.63144828,3.263762158
SOX4,23058.17235,24049.66052,22055.82177,22201.08543,20969.67186
SOX5,0,0,0,0,0
SOX6,23.79467417,10.41426429,12.34237368,12.49549426,11.42316755
SOX7,22.66159445,15.62139643,11.39296032,14.7674023,17.95069187
